,ds,y,ma4,var4,momentum0,rsi,MACD,upper_band,ema,diff4,lower_band,momentum1,kalman
361,1999-12-22,2205.82,2202.0575000000003,15.31617527328232,-1.9800000000000184,76.31589931961437,27.43123593832752,2222.601425300262,2203.976035470357,11.042500000000018,2041.843959315123,26.0,2201.3348011905578
362,1999-12-29,2209.49,2200.7325,14.022109624989676,3.669999999999618,78.28897657627405,28.908702906422604,2230.1634166330105,2207.6520118234525,-1.3250000000002728,2039.4342756746817,1.6899999999995998,2195.027159833013
363,2000-01-06,2145.98,2192.2725,30.898089881660614,-63.50999999999976,52.903911390853,24.67049380272056,2229.91851523026,2166.537337274484,-8.460000000000036,2039.3576386158943,-59.84000000000015,2167.0602701363164
364,2000-01-13,2158.66,2179.9875,32.3990116876287,12.679999999999836,50.93254982115476,22.08032434765209,2228.626274310096,2161.2857790914945,-12.284999999999854,2041.353725689904,-50.82999999999993,2170.6627541357434
365,2000-01-20,2184.56,2174.6725,28.22339853741446,25.90000000000009,59.15762084807089,21.865458542710257,2228.086075256921,2176.801926363831,-5.315000000000055,2049.4377708969246,38.57999999999993,2192.240312849284
366,2000-01-27,2238.2,2181.85,40.85380276059707,53.63999999999987,64.00573271228953,25.72691173208432,2235.777801376207,2217.73397545461,7.177499999999782,2055.667583239177,79.53999999999996,2225.319748193164
367,2000-02-03,2245.31,2206.6825,41.95633474222839,7.110000000000127,64.69885445217515,29.02626210288099,2247.3461370754726,2236.117991818204,24.832499999999985,2058.55155523222,60.75,2239.1099865789056
368,2000-02-10,2246.21,2228.57,29.557932945354143,0.900000000000091,56.76164242059055,31.352234477688853,2259.2421122062024,2242.8459972727346,21.887499999999815,2058.639426255336,8.010000000000218,2243.61521394032
369,2000-02-17,2241.73,2242.8625,3.661396591757357,-4.480000000000018,65.33564528114937,32.45990816760741,2268.442530864849,2242.101999090912,14.292500000000471,2058.220546058228,-3.5799999999999272,2244.2345437183626
370,2000-02-24,2231.3,2241.1375,6.837823118662909,-10.429999999999836,56.37547476939774,32.125807404237094,2270.9809571716446,2234.9006663636374,-1.7250000000003638,2062.5359659052788,-14.909999999999854,2248.6046260281314
371,2000-03-02,2294.08,2253.33,27.87554364197249,62.77999999999975,68.00489596083234,36.5060326477028,2288.20900011069,2274.3535554545456,12.19250000000011,2060.6694614277712,52.34999999999991,2278.8897560209284
372,2000-03-09,2291.48,2264.6475,32.779682096316485,-2.599999999999909,66.79916403720864,39.314402480643366,2303.112093959834,2285.7711851515155,11.31750000000011,2058.46405988632,60.17999999999984,2286.426292869065
373,2000-03-16,2283.3,2275.04,29.51954380861868,-8.179999999999836,86.38579756226832,40.41412924456381,2313.754360675021,2284.1237283838386,10.392499999999927,2057.5933316326714,-10.779999999999744,2286.3945031286157
374,2000-03-23,2284.31,2288.2925,5.305364423772258,1.0099999999997635,85.48833531039953,40.89574845567449,2319.685181028793,2284.2479094612795,13.252500000000056,2061.9309728173607,-7.170000000000073,2290.996976850605
375,2000-03-30,2308.88,2291.9925,11.832591643523369,24.570000000000164,85.37848605577707,42.76703702898703,2328.171879436236,2300.66930315376,3.699999999999818,2069.2158128714564,25.579999999999927,2305.6137278911
376,2000-04-06,2308.55,2296.26,14.38833555357948,-0.3299999999999272,78.74009314486506,43.719447882391705,2332.4753161668577,2305.923101051253,4.267500000000382,2081.520068448526,24.24000000000024,2315.338977820257
377,2000-04-13,2323.75,2306.3725,16.327486793822512,15.199999999999818,80.05824647455572,45.17994700819463,2335.81398847173,2317.807700350418,10.112499999999727,2096.952165374423,14.86999999999989,2335.2312595965595
378,2000-04-20,2362.96,2326.0350000000003,25.61702623912232,39.21000000000004,84.58439481011928,48.937204761934936,2353.399260329755,2347.90923345014,19.662500000000364,2101.5399704394763,54.409999999999854,2372.317636721838
379,2000-04-27,2432.86,2357.03,55.507424728613735,69.90000000000009,90.80312540028196,56.89930465717998,2384.389298759864,2404.5430778167133,30.99499999999944,2093.7107012401366,109.11000000000011,2423.4178157895944
